repo,status
KDE/kimtoy,Error
KDE/dolphin-plugins,Error
KDE/akonadiclient,Error
KDE/ksnapshot,Pass
KDE/kgamma5,Pass
KDE/kdnssd,Error
KDE/kdesdk-kioslaves,Pass
KDE/libkubuntu,Pass
KDE/kgeography,Pass
KDE/kxstitch,Pass
KDE/kubuntu-debug-installer,Pass
KDE/libqinfinity,Pass
KDE/alkimia,Error
KDE/kwallet,Error
KDE/synchrotron,Error
KDE/rekonq,Pass
KDE/kdeclarative,Error
KDE/kcmgrub2,Pass
KDE/nepomukshell,Pass
KDE/plasma-desktop,Pass
KDE/kmines,Pass
KDE/powerdevil,Pass
KDE/phonon-waveout,Pass
KDE/libksane,Pass
KDE/kauth,Error
KDE/sddm-kcm,Pass
KDE/kdev-java,Pass
KDE/palapeli,Pass
KDE/kopete-whiteboard,Pass
KDE/cutepaste,Pass
KDE/ktorrent,Pass
KDE/bookmanager,Pass
KDE/kamera,Pass
KDE/kmuddy,Pass
KDE/okular,Error
KDE/kontactinterface,Pass
KDE/kregexpeditor,Pass
KDE/smaragd,Pass
KDE/kde-artwork-active,Pass
KDE/kartesio,Error
KDE/ktp-auth-handler,Pass
KDE/kdev-xtest,Pass
KDE/kde-gtk-config,Pass
KDE/skanlite,Pass
KDE/smokegen,Pass
KDE/kajongg,Pass
KDE/kaudiocreator,Pass
KDE/silk,Pass
KDE/libkcw,Pass
KDE/kpeople,Error
KDE/kcm-grub2,Pass
KDE/libkeduvocdocument,Pass
KDE/kiriki,Pass
KDE/kard,Pass
KDE/quanta,Pass
KDE/klines,Pass
KDE/kdev-upload,Pass
KDE/veritas,Pass
KDE/qyoto,Pass
KDE/xsettings-kde,Error
KDE/kactivities,Error
KDE/krita-imagecomplete,Pass
KDE/superkaramba,Pass
KDE/knights,Pass
KDE/jovie,Pass
KDE/bodega-client,Pass
KDE/colibri,Pass
KDE/kompare,Pass
KDE/homerun,Error
KDE/kphotoalbum,Error
KDE/kolena,Pass
KDE/kturtle,Pass
KDE/simon-tools,Pass
KDE/phonon,Error
KDE/rsibreak,Pass
KDE/kbookmarks,Error
KDE/granatier,Pass
KDE/ksokoban,Pass
KDE/k3b,Error
KDE/kubeplayer,Pass
KDE/libktorrent,Error
KDE/kdots,Pass
KDE/kooka,Error
KDE/kmag,Pass
KDE/kapidox,Pass
KDE/krita-cimg,Pass
KDE/kxmlgui,Error
KDE/kdesdk-thumbnailers,Pass
KDE/kparts,Error
KDE/jungle,Error
KDE/akonadi-exchange,Pass
KDE/koffice,Error
KDE/kwave,Error
KDE/wicd-kde,Pass
KDE/kdeplasma-addons,Error
KDE/kalternatives,Pass
KDE/ksaneplugin,Pass
KDE/baloo-widgets,Error
KDE/kpty,Error
KDE/libkscreen,Error
KDE/oxygen-gtk,Pass
KDE/networkmanagement,Pass
KDE/konquest,Pass
KDE/macaw-movies,Pass
KDE/gwenview,Error
KDE/lskat,Pass
KDE/kplotting,Error
KDE/print-manager,Pass
KDE/kdiamond,Pass
KDE/mula,Pass
KDE/extra-cmake-modules,Error
KDE/qtjolie,Error
KDE/stackfolder,Pass
KDE/picmi,Pass
KDE/systemd-kcm,Pass
KDE/pairs,Pass
KDE/activities-support,Error
KDE/kalzium,Pass
KDE/plasma-camera,Pass
KDE/kuser,Error
KDE/ktimer,Pass
KDE/plasma-framework,Error
KDE/kvkbd,Pass
KDE/svgpart,Pass
KDE/kopete-pimpresence,Error
KDE/amor,Pass
KDE/nepomuk-system-tray,Pass
KDE/kannasaver,Pass
KDE/phonon-vlc,Pass
KDE/kollision,Pass
KDE/sprinter,Pass
KDE/ktp-desktop-applets,Pass
KDE/ktp-kded-module,Pass
KDE/liblikeback,Pass
KDE/kdegraphics-strigi-analyzer,Pass
KDE/startactive,Pass
KDE/kio-gopher,Pass
KDE/scribo,Pass
KDE/kdev-mercurial,Error
KDE/necessitas-tools,Error
KDE/declarative-plasmoids,Pass
KDE/strigi,Error
KDE/kcolorchooser,Pass
KDE/kspaceduel,Pass
KDE/soprano,Error
KDE/ktuberling,Pass
KDE/clazy,Pass
KDE/plasma-mobile-config,Pass
KDE/systemsettings,Pass
KDE/qtcurve,Pass
KDE/kdewin-installer,Error
KDE/kdev-css,Error
KDE/kde-dev-utils,Pass
KDE/kalgebra,Pass
KDE/macports-kde,Error
KDE/dummy,Error
KDE/kunitconversion,Error
KDE/kcm-userconfig,Pass
KDE/kde-cli-tools,Pass
