translate_html,1
kimap2_unit_tests,1
kimap2_tests,1
plasmate_unit_test,4
get_win32_winnt,1
install_qml_script,1
falkon_qml_tests,1
osm_filter,1
osm_convert,2
planschedulers_tj_add_unit_test,3
planwidgets_add_unit_test,1
planstore_add_unit_test,2
planodf_add_unit_test,11
planmain_add_unit_test,3
plankernel_add_unit_test,14
planmodels_add_unit_test,5
plan_add_unit_test,15
plan_add_test_command,1
protobuf_generate_cpp,2
install_targets,2
convert_prl_libs_to_cmake,2
get_current_source_subdir,55
install_python2_module_files,12
link_install_scripts,2
docbook_book_to_html_chunked,2
docbook_book_to_html_single,2
install_synder_files,3
epydoc_to_html,1
install_po_domain,1
llvm_map_components_to_libnames,1
qt5_create_translation,1
