command,freq
add_diff_bodyformatter_class_unittest,1
add_plasma_pimeventsplugin_test,2
add_templateparserplugin_unittest,1
add_gravatar_plugin_unittest,2
add_messageviewer_dkim_verify_unittest,41
add_messageviewer_expireaccounttrash_unittest,2
add_foldersettings_plugin_unittest,1
add_kmail_antispamplugin_unittest,1
add_kmail_antivirusplugin_unittest,1
add_kmail_logactivitiesplugin_unittest,1
add_kmail_editorplugin_unittest,19
add_kmail_editorpluginquicktext_unittest,4
add_kmail_confirmaddress_unittest,8
add_kmail_checkbeforesend_unittest,7
add_kmail_automaticaddscontacts_unittest,1
add_kmail_externalcomposer_unittest,3
add_kmail_converttext_unittest,11
add_kmail_grammarcommon_unittest,1
add_kmail_grammalecte_unittest,7
add_kmail_languagetool_unittest,11
kaddressbook_merge,1
add_windowscontact_unittest,1
add_sieveeditorplugin_unittest,5
add_regexpeditorplugin_unittest,1
add_managesievejob_test,3
add_sieveeditor_xmlprintingscriptbuilding,1
add_vacation_test,3
add_sievescriptdebugger_test,4
add_sieveeditor_autocreatescripts,7
add_sieveutil_test,3
add_sieveimapinstance_test,2
add_autocreatescriptswidget_test,3
add_gravatar_unittest,7
ie_unit_tests,1
add_libkdepim_freebusymodel_unittest,2
add_kleo_test,10
add_pimcommon_autocorrect_unittest,4
add_pimcommon_migration_unittest,2
add_pimcommon_regularexpression_unittest,1
add_pimcommon_misc_unittest,1
add_pimcommon_collectionpage_test,3
add_pimcommonakonadi_addressline_unittest,5
add_libkdepim_blacklistbaloocompletion_unittest,5
add_mailimporter_unittest,13
add_mailimporterakonadi_unittest,12
add_mailcommon_collectionpage_test,1
add_mailcommon_filter_test,36
add_mailcommon_filter_akonadi_test,1
add_search_autotest,7
add_libkdepim_progresswidget_unittest,2
add_mimetreeparser_crypto_unittest,2
add_mimetreeparser_unittest,2
add_mimetreeparser_class_unittest,1
add_messageviewer_crypto_unittest,3
add_messageviewer_widget_unittest,5
add_messageviewer_utils_unittest,1
add_messageviewer_viewer_renderer_unittest,1
add_messageviewer_blockexternalresource_unittest,1
add_messageviewer_remote_contents_unittest,6
add_messageviewer_unittest,1
add_messageviewer_mailsourceviewbrowserwidget_unittest,1
add_templateparser_unittest,10
add_composerng_autocorrect_unittest,2
add_plugineditor_unittest,1
add_composer_unittest,1
add_composer_snippet_unittest,3
add_messagecomposer_test,17
add_messagecomposer_cryptotest,5
add_messagecore_test,8
messagelist_unittest,5
kexi_add_tests,1
ensure_out_of_source_build,1
detect_release_build,1
kexi_add_library,12
qt5_add_binary_resources,1
build_and_install_kexi_migrate_driver,4
kexi_add_icons_rcc_file,1
kexi_add_plugin_icons_rcc_file,2
kexi_add_app_metadata_files,1
kexi_add_executable,1
kexi_add_app_icons,1
add_update_file_target,1
kexi_add_example_project,1
plasmoidtest,56
